MSE_SOM;PSNR_SOM;FR;expe;MSE_FaultySOM;PSNR_FaultySOM;FR;avg_MSE_faulty;avg_PSNR_faulty;;;;;1;9,261476842;23,28935085;0,061423136;0,011254209;1;9,390270183;23,27523829;0,059229205;0,0115622
8,725527577;23,55443741;2;10;9,605766184;23,13125113;;;;;;;;2;9,943631055;23,00667717;0,126409485;0,02678902;;;;;
8,725527577;23,55443741;2;11;9,246737104;23,22479582;;;;;;;;2;9,952147146;22,9702739;0,116763657;0,02306988;;;;;
8,725527577;23,55443741;2;12;10,21234391;22,70050978;;;;;;;;2;10,08337908;22,91628068;0,136174937;0,027311099;;;;;
8,725527577;23,55443741;2;13;9,528554958;23,22040406;;;;;;;;2;9,867471025;22,94880335;0,116093538;0,023249643;;;;;
8,725527577;23,55443741;2;14;9,423732536;23,22736623;;;;;;;;2;10,05322432;22,87155328;0,134120243;0,027030177;;;;;
8,725527577;23,55443741;2;15;11,69209019;22,3431339;;;;;;;;2;9,843740699;23,01201804;0,108654547;0,023748057;;;;;
8,725527577;23,55443741;2;16;9,659419957;23,09912473;;;;;;;;2;9,94711422;22,94379774;0,131513113;0,026333118;;;;;
8,725527577;23,55443741;2;17;9,795808545;23,02651137;;;;;;;;2;9,925792197;22,91341824;0,11987706;0,02492086;;;;;
8,725527577;23,55443741;2;18;9,579544469;23,18727508;;;;;;;;2;10,12014;22,81586429;0,117139703;0,023726755;;;;;
8,725527577;23,55443741;2;19;9,815877815;23,08214551;;;;;;;;2;9,868349031;22,94383393;0,114641667;0,023310786;;;;;
8,725527577;23,55443741;2;20;9,697568482;23,0176745;;;;;;;;2;9,960058122;23,00535558;0,121935563;0,02373953;;;;;
8,725527577;23,55443741;2;21;9,489163856;23,22967937;;;;;;;;2;9,914074277;22,93451122;0,125297053;0,022987491;;;;;
8,725527577;23,55443741;2;22;10,79499754;22,73320979;;;;;;;;2;9,929020417;23,0465579;0,118059383;0,025555956;;;;;
8,725527577;23,55443741;2;23;9,778475571;23,07440241;;;;;;;;2;10,02798381;22,90537755;0,113455907;0,023094098;;;;;
8,725527577;23,55443741;2;24;9,688853998;23,03125116;;;;;;;;2;10,09069261;22,98226211;0,135088217;0,028134592;;;;;
8,725527577;23,55443741;2;25;10,01144349;22,89707989;;;;;;;;2;10,13290993;22,86475199;0,133233105;0,027762256;;;;;
8,725527577;23,55443741;2;26;9,897014685;22,85148516;;;;;;;;2;10,1797905;22,80252197;0,13136499;0,025972017;;;;;
8,725527577;23,55443741;2;27;9,510958562;23,13735997;;;;;;;;2;9,846564766;22,99308482;0,119720782;0,024155255;;;;;
8,725527577;23,55443741;2;28;9,716602028;23,02635141;;;;;;;;2;9,822946214;23,02963209;0,121655527;0,026933628;;;;;
8,725527577;23,55443741;2;29;10,53360927;22,59953304;;;;;;;;2;10,13483883;22,91815244;0,141581944;0,027336829;;;;;
8,725527577;23,55443741;2;30;9,881797505;23,06382692;;;;;;;;2;9,891516387;23,021391;0,131317373;0,025679254;;;;;
8,725527577;23,55443741;2;31;9,594150983;23,1448954;;;;;;;;2;10,03898094;22,99023681;0,116088272;0,024395807;;;;;
8,725527577;23,55443741;2;32;9,733140834;22,91991415;;;;;;;;2;9,967990214;23,02445049;0,123879009;0,025400565;;;;;
8,725527577;23,55443741;2;33;10,59255955;22,49776552;;;;;;;;2;9,92916735;22,91977156;0,117526471;0,023784203;;;;;
8,725527577;23,55443741;2;34;9,605300166;23,17364664;;;;;;;;2;9,8835257;22,96999807;0,125215742;0,024626786;;;;;
8,725527577;23,55443741;2;35;9,976422959;22,95925639;;;;;;;;2;9,916705089;22,9751028;0,115912762;0,022972373;;;;;
8,725527577;23,55443741;2;36;11,56668938;22,37539267;;;;;;;;2;9,895081982;23,05813634;0,119670224;0,026581457;;;;;
8,725527577;23,55443741;2;37;9,656959771;23,04229458;;;;;;;;2;10,0798598;22,92082211;0,130338493;0,025847149;;;;;
8,725527577;23,55443741;2;38;10,2580467;22,72913997;;;;;;;;2;9,839996278;23,02350265;0,115240453;0,023267108;;;;;
8,725527577;23,55443741;2;39;9,776684961;22,92465298;;;;;;;;3;10,3153378;22,71270478;0,182202188;0,035735629;3;10,55119645;22,62086728;0,190182455;0,039349848
8,725527577;23,55443741;3;0;10,09625944;22,68432778;3;10,3153378;22,71270478;0,182202188;0,035735629;;;3;10,49474107;22,67544419;0,177537644;0,03603141;;;;;
8,725527577;23,55443741;3;1;10,52032162;22,59519114;;;;;;;;3;10,52049047;22,63354883;0,181288024;0,03795643;;;;;
8,725527577;23,55443741;3;2;10,10698083;22,6852223;;;;;;;;3;10,61160237;22,55725984;0,199488837;0,041218459;;;;;
8,725527577;23,55443741;3;3;10,16285225;22,85233332;;;;;;;;3;10,30571347;22,72168289;0,183237732;0,036594275;;;;;
8,725527577;23,55443741;3;4;10,10239646;22,81845168;;;;;;;;3;10,65042401;22,58437029;0,194112292;0,039515534;;;;;
8,725527577;23,55443741;3;5;10,98277383;22,45322419;;;;;;;;3;10,60985755;22,53830805;0,195494472;0,039834442;;;;;
8,725527577;23,55443741;3;6;10,30279261;22,63682451;;;;;;;;3;10,54171117;22,62331822;0,186986064;0,039595562;;;;;
8,725527577;23,55443741;3;7;10,70652284;22,40901973;;;;;;;;3;10,31112924;22,73384592;0,172116364;0,035416144;;;;;
8,725527577;23,55443741;3;8;10,13998402;22,87100133;;;;;;;;3;10,62905919;22,53887193;0,203258671;0,043799689;;;;;
8,725527577;23,55443741;3;9;9,995884309;22,86238485;;;;;;;;3;10,71461083;22,58062706;0,208549509;0,044706847;;;;;
8,725527577;23,55443741;3;10;10,30197614;22,64828529;;;;;;;;3;10,51691192;22,72443159;0,191350451;0,038728358;;;;;
8,725527577;23,55443741;3;11;9,804775816;22,99577181;;;;;;;;3;10,50182449;22,67960739;0,178444787;0,035431982;;;;;
8,725527577;23,55443741;3;12;10,25688336;22,711329;;;;;;;;3;10,44540336;22,63040669;0,176967108;0,039445113;;;;;
8,725527577;23,55443741;3;13;9,828173502;22,95925979;;;;;;;;3;10,40545513;22,60263799;0,176944041;0,037983184;;;;;
8,725527577;23,55443741;3;14;10,27678352;22,67387977;;;;;;;;3;10,66992333;22,4812262;0,20369104;0,043634929;;;;;
8,725527577;23,55443741;3;15;10,14570096;22,87794919;;;;;;;;3;10,5916883;22,56813272;0,192892392;0,042579257;;;;;
8,725527577;23,55443741;3;16;10,32365538;22,71386047;;;;;;;;3;10,6365531;22,59443194;0,209938787;0,041159169;;;;;
8,725527577;23,55443741;3;17;9,989090538;22,85257209;;;;;;;;3;10,53990963;22,57306528;0,189164832;0,03940456;;;;;
8,725527577;23,55443741;3;18;10,61632043;22,36344801;;;;;;;;3;10,63180313;22,52962318;0,173621055;0,035974791;;;;;
8,725527577;23,55443741;3;19;12,14489251;22,03747813;;;;;;;;3;10,49302721;22,5911206;0,185199804;0,038325335;;;;;
8,725527577;23,55443741;3;20;10,02455737;22,92373807;;;;;;;;3;10,49622991;22,67926172;0,182331816;0,037577723;;;;;
